Fiscal Year,Program Area,Department,Budget Unit,Major Object,Expense Category,Account Name,Approved Amount,Recommended Amount
2014,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Overtime,269174,270315
2015,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Overtime,279327,280867
2013,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Overtime,285998,285998
2014,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Other Benefits,297932,297932
2013,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Other Benefits,300329,300329
2015,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Other Benefits,300329,300329
2015,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Dental Hlth Ins Contributions,545283,549143
2014,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Dental Hlth Ins Contributions,547535,550430
2014,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,HI tax Contributions,583860,586228
2015,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,HI tax Contributions,588629,591826
2013,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Dental Hlth Ins Contributions,593531,593531
2013,Public Assistance,Children and Family Services,Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,Communications-Telephony Services,594531,594531
2013,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,HI tax Contributions,625482,625482
2013,Public Assistance,Children and Family Services,Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,Professional & Public Liability Insurance,729256,729256
2013,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Comp Insurance,952636,952636
2013,Public Assistance,Children and Family Services,Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,Information Technology Services,1369626,1369626
2015,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Comp Insurance,1411263,1411263
2014,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Comp Insurance,1939410,1939410
2014,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 1 Contributions,2260671,2269764
2013,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 1 Contributions,2407070,2407070
2015,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 1 Contributions,2468310,2481610
2014,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Social Security Contributions,2490232,2500344
2015,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Social Security Contributions,2510181,2523836
2013,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Social Security Contributions,2667259,2667259
2014,Public Assistance,Children and Family Services,Welfare Administration,Other Charges,Other Charges,OTHER CHARGES,2952892,2952892
2013,Public Assistance,Children and Family Services,Welfare Administration,Other Charges,Other Charges,OTHER CHARGES,2958163,2958163
2015,Public Assistance,Children and Family Services,Welfare Administration,Other Charges,Other Charges,OTHER CHARGES,3292993,3292993
2013,Public Assistance,Children and Family Services,Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,BMD Space Rental,4971600,4971600
2014,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 2 Contributions,7612870,7643497
2014,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Hlth Ins Contributions,7622559,7662792
2013,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Hlth Ins Contributions,7868077,7868077
2015,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Hlth Ins Contributions,7971204,8027531
2013,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 2 Contributions,7992900,7992900
2015,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 2 Contributions,8415085,8460438
2014,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Salaries & Wages,39997033,40159208
2015,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Salaries & Wages,40315791,40534771
2013,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Salaries & Wages,42850814,42850814
2013,Public Assistance,Children and Family Services,Welfare Administration,Discretionary Services & Supplies,Services & Supplies,SERVICES AND SUPPLIES,49126488,49126488
2014,Public Assistance,Children and Family Services,Welfare Administration,Discretionary Services & Supplies,Services & Supplies,SERVICES AND SUPPLIES,52204678,52204678
2015,Public Assistance,Children and Family Services,Welfare Administration,Discretionary Services & Supplies,Services & Supplies,SERVICES AND SUPPLIES,55306286,53618628
2015,Public Assistance,Department of Child Support Services,Department of Child Support Services,Non-Discretionary Services & Supplies,Services & Supplies,Transportation-Motor Vehicle,11600,11600
2014,Public Assistance,Department of Child Support Services,Department of Child Support Services,Non-Discretionary Services & Supplies,Services & Supplies,Transportation-Motor Vehicle,12090,12090
2013,Public Assistance,Department of Child Support Services,Department of Child Support Services,Non-Discretionary Services & Supplies,Services & Supplies,Transportation-Motor Vehicle,13250,13250
2015,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,Overtime,45053,45053
2013,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,Overtime,45562,45598
2014,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,Overtime,46778,46778
2015,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,SDI Contrib,68821,68821
2013,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,SDI Contrib,70633,70647
2014,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,SDI Contrib,71256,71256
2015,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,Other Benefits,119756,119756
2014,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,Other Benefits,124644,124644
2015,Public Assistance,Department of Child Support Services,Department of Child Support Services,Non-Discretionary Services & Supplies,Services & Supplies,Professional & Public Liability Insurance,128945,155290
2013,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,Other Benefits,131976,131976
2014,Public Assistance,Department of Child Support Services,Department of Child Support Services,Non-Discretionary Services & Supplies,Services & Supplies,Communications-Telephony Services,164000,164000
2015,Public Assistance,Department of Child Support Services,Department of Child Support Services,Non-Discretionary Services & Supplies,Services & Supplies,Communications-Telephony Services,166400,166400
2013,Public Assistance,Department of Child Support Services,Department of Child Support Services,Non-Discretionary Services & Supplies,Services & Supplies,Communications-Telephony Services,170000,170000
2014,Public Assistance,Department of Child Support Services,Department of Child Support Services,Non-Discretionary Services & Supplies,Services & Supplies,Professional & Public Liability Insurance,187007,187007
2013,Public Assistance,Department of Child Support Services,Department of Child Support Services,Non-Discretionary Services & Supplies,Services & Supplies,Professional & Public Liability Insurance,193553,193553
2015,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,HI tax Contributions,210043,210043
2013,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,HI tax Contributions,216315,216435
2014,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,HI tax Contributions,216541,216541
2015,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,Dental Hlth Ins Contributions,242159,242159
2013,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,Dental Hlth Ins Contributions,256029,256029
2014,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,Dental Hlth Ins Contributions,256029,256029
2015,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,Comp Insurance,312887,312887
2013,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,Comp Insurance,322397,322397
2014,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,Comp Insurance,386771,386771
2013,Public Assistance,Department of Child Support Services,Department of Child Support Services,Non-Discretionary Services & Supplies,Services & Supplies,Information Technology Services,455031,455031
2014,Public Assistance,Department of Child Support Services,Department of Child Support Services,Non-Discretionary Services & Supplies,Services & Supplies,Information Technology Services,459242,465171
2015,Public Assistance,Department of Child Support Services,Department of Child Support Services,Non-Discretionary Services & Supplies,Services & Supplies,Information Technology Services,469991,469991
2015,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,Social Security Contributions,866804,866804
2013,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,Social Security Contributions,891573,892085
2014,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,Social Security Contributions,894842,894842
2013,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 1 Contributions,1014431,1015008
2014,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 1 Contributions,1021236,1021236
2015,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 1 Contributions,1076198,1076198
2014,Public Assistance,Department of Child Support Services,Department of Child Support Services,Discretionary Services & Supplies,Services & Supplies,SERVICES AND SUPPLIES,1756211,1756211
2015,Public Assistance,Department of Child Support Services,Department of Child Support Services,Discretionary Services & Supplies,Services & Supplies,SERVICES AND SUPPLIES,1758915,1758915
2013,Public Assistance,Department of Child Support Services,Department of Child Support Services,Non-Discretionary Services & Supplies,Services & Supplies,BMD Space Rental,2050000,2050000
